country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Anguilla,AIA,16/02/2022,21994,10230,9500,,30,145.41,67.64,62.81,1983,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Argentina,ARG,16/02/2022,91462554,40100846,35584341,238598,243115,200.55,87.93,78.03,5331,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Aruba,ABW,16/02/2022,167391,87157,80234,76,50,156.16,81.31,74.85,466,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,16/02/2022,52791256,21943571,20393712,156072,149140,204.71,85.09,79.08,5783,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Azerbaijan,AZE,16/02/2022,12627370,5273971,4768299,77407,45875,123.52,51.59,46.64,4487,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az/storage/app/9sWKkwHJeU9OdgY7G2YVU8Ux0MmAsUuc5WuhqRpD.pdf
Bahamas,BHS,16/02/2022,325698,162601,153291,,336,82.06,40.97,38.62,847,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Brazil,BRA,16/02/2022,380878261,174949012,152751771,1101913,1078073,177.99,81.75,71.38,5038,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
Bulgaria,BGR,16/02/2022,4260171,,2032358,5395,4781,61.77,,29.47,693,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,16/02/2022,80139288,32495669,30687748,92114,104531,210.52,85.36,80.61,2746,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
China,CHN,16/02/2022,3063391000,,,6394000,5820714,212.11,,,4030,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202202/6564cf2132254ab0b1ec82d94e33a4f3.shtml
